収容局,ケーブル名,備考,経度,緯度,分岐00,分岐01,分岐02,分岐03,分岐04,分岐05,pdfファイル名
新潟西,Aケーブル,局,139.050697,37.9209019,1,,,,,,新潟西A.pdf
新潟西,Aケーブル,下大川前線_1,139.0523552,37.92228379,1,,,,,,新潟西A.pdf
新潟西,Aケーブル,下大川前線_2,139.0527901,37.92285404,1,,,,,,新潟西A.pdf
新潟西,Aケーブル,下大川前線_3,139.0536691,37.92369842,1,,,,,,新潟西A.pdf
新潟西,Aケーブル,下大川前線_4,139.0543197,37.92436635,1,,,,,,新潟西A.pdf
新潟西,Aケーブル,下大川前線_5,139.0550587,37.92526618,1,,,,,,新潟西A.pdf
新潟西,Aケーブル,下大川前線_5-1,139.0543152,37.92583946,1,,,,,,新潟西A.pdf
新潟西,Aケーブル,下大川前線_6,139.0542094,37.92597923,1,,,,,,新潟西A.pdf
新潟西,Bケーブル,局,139.050697,37.9209019,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,下大川前線_1,139.0523552,37.92228379,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,下大川前線_2,139.0527901,37.92285404,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,下大川前線_3,139.0536691,37.92369842,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,下大川前線_4,139.0543197,37.92436635,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,下大川前線_5-1,139.0543152,37.92583946,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,下大川前線_8,139.0531848,37.92760812,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,下大川前線_9,139.0526881,37.92847462,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,港線_2,139.0512209,37.92793218,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,北線_11,139.0491246,37.92753763,1,1,,,,,新潟西B.pdf
新潟西,Bケーブル,北線_15,139.0491334,37.92929846,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,北線_17,139.0493182,37.93093128,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,北線_18,139.0488644,37.93172062,1,,,,,,新潟西B.pdf
新潟西,Bケーブル,北線_18-1,139.0480827,37.93147466,1,,,,,,新潟西B.pdf
